100,CC,,Missing ceiling panels in Nothwest and Southeast corners,Benmar,2024-05-28,2024-06-10,,,,
101,CC,,Incomplete millwork (cabinets - MWK10),Ladson,2024-05-28,2024-06-10,,,,
102,CC,,Plumbing incomplete,Swift,2024-06-06,2024-06-10,,,,
103,CC,,Missing lights under cabinet,PPG,2024-06-06,2024-06-10,,,,
104,CC,,Nail sticking out of pillar,CCL,2024-06-06,2024-06-10,,,,
105,CC,,Seal needed for heater (fire stop),Swift,2024-06-06,2024-06-10,,,,
106,CC,,Flooring transition needed at entrance,Lab Flooring,2024-06-06,2024-06-10,,,,
107,CC,,Missing baseboard/trim,Benmar,2024-06-06,2024-06-10,,,,
108,CC,,Tiles missing behind counter,Lab Flooring,2024-06-06,2024-06-10,,,,
109,CC,,Floor boxes to be recessed ,PPG,2024-06-06,2024-06-10,,,,
110,CC,,Insulation jacket missing for heater,Swift,2024-05-28,2024-06-10,,,,
111,CC,,Paint required on North and South walls,Tuygun,2024-06-05,2024-06-10,,,,
112,CC,,Incomplete millwork (cabinets - MWK11),Ladson,2024-05-28,2024-06-10,,,,
113,CC,,"Damaged drywall in Southeast corner, patching required",Benmar,2024-05-28,2024-06-10,,,,
114,CC,124 - UNISEX WASHROOM,Missing outlet covers in room 124C,PPG,2024-05-28,2024-06-10,,,,
115,CC,,Missing outlet covers in room 124D,PPG,2024-05-28,2024-06-10,,,,
116,CC,,Missing mirrors in both barrier-free stalls,CCL,2024-06-05,2024-06-10,,,,
117,CC,,Sinks missing in all typical bathroom stalls,Swift,2024-06-05,2024-06-10,,,,
118,CC,,Missing wall grout in room 124D on South wall,Lab Flooring,2024-05-28,2024-06-10,,,,
119,CC,,Missing tiles on window sill on North wall,Lab Flooring,2024-05-28,2024-06-10,,,,
120,CC,125A - CORRIDOR,Paint required (all walls),Tuygun,2024-05-28,2024-06-10,,,,
121,CC,,Missing ceiling panels,Benmar,2024-06-05,2024-06-10,,,,
122,CC,,Fire stop required at entrance to bridge door A100B,Swift,2024-06-05,2024-06-10,,,,
123,CC,,Missing PDO,Upper Canada,2024-06-05,2024-06-10,,,,
124,CC,,Broken glass on firehose cabinet,Westmount,2024-06-05,2024-06-10,,,,
125,CC,,Top of stairs is too high - must be lowered,Lab Flooring,2024-06-05,2024-06-10,,,,
126,CC,,Fire alarm covers to be removed,PPG,2024-05-28,2024-06-10,,,,
127,CC,123 - PERFORMING ARTS DANCE STUDIO,Missing flooring,Lab Flooring,2024-05-28,2024-06-10,,,,
128,CC,,Exposed electrical box beside east door,PPG,2024-05-28,2024-06-10,,,,
129,CC,,Paint required next to Northwest window,Tuygun,2024-05-28,2024-06-10,,,,
130,CC,,Excess drywall misplaced on both west windows,Benmar,2024-05-28,2024-06-10,,,,
131,CC,,Chippped roof tiles on Southeast side,Benmar,2024-05-28,2024-06-10,,,,
132,CC,,Paint required on both windowsills,Tuygun,2024-05-28,2024-06-10,,,,
133,CC,,Paint required around East doorframe,Tuygun,2024-05-28,2024-06-10,,,,
134,CC,,Paint required on wall directly across from East doorway (storage),Tuygun,2024-05-28,2024-06-10,,,,
135,CC,126 - STORAGE,Paint required on all walls,Tuygun,2024-05-28,2024-06-10,,,,
136,CC,,Missing ceiling panel,Benmar,2024-05-28,2024-06-10,,,,
137,CC,126A - CUSTOMER SERVICE + BOX OFFICE,Missing outlet cover outside room (beside water fountain),PPG,2024-05-28,2024-06-10,,,,
138,CC,,Missing ceiling panels,Benmar,2024-06-05,2024-06-10,,,,
139,CC,,Painting required on South wall,Tuygun,2024-06-05,2024-06-10,,,,
140,CC,,Paint required outside room (beside water fountain and around doorway 123A),Tuygun,2024-05-28,2024-06-10,,,,
141,CC,122 - ELEC. ROOM,Missing flooring,Lab Flooring,2024-05-28,2024-06-10,,,,
142,CC,,Fire alarms not installed,PPG,2024-06-05,2024-06-10,,,,
143,CC,,Paint required on North and South walls,Tuygun,2024-05-28,2024-06-10,,,,
144,CC,,Paint required outside room on entire customer service wall,Tuygun,2024-05-28,2024-06-10,,,,
145,CC,232 - JANITOR,Missing grout on wall tiles,Lab Flooring,2024-05-28,2024-06-10,,,,
146,CC,,Filling required around drain,Lab Flooring,2024-06-06,2024-06-10,,,,
147,CC,,Holes in South wall,Benmar,2024-06-05,2024-06-10,,,,
148,CC,,Missing outlet covers,PPG,2024-05-28,2024-06-10,,,,
